NP,Rep,N_added_mg_L,Cells_L,N_mg_L,C_mg_L,P_mg_L,CP_mol,CN_mol,NP_mol,DIN_mg_L,TDN_mg_L,Organic_N_mg_L,PO4_ug_L,TDP_ug_L,NP_media_mol,N-fix_ug_L_h,N_quota_pg_cell,C_quota_pg_cell,P_quota_pg_cell,CYN_ug_L_part,CYN_ug_L_Dis,Total_CYN_ug_L,CYN_fg_cell,CYN_Dis_fg_cell,CYN_Part_fg_cell,CYN_Percent_Diss,Chla_ug_L,Chla_pg_cell,PC_mg_L,APC_mg_L,PE_mg_L,Total_PBP_mg_L,PBP_pg_cell
1,B,0.161,2244791667,2.5,14.5,0.224,167,5.8,24.6,0.00422,0.3,2.741757512,127,14,0.007357705,2.901021609,1.106,6.45,0.1,19.5,0,19.5,8.7,0,8.695620419,0,376,0.168,0.657,0.156,0.131,0.944,0.42
1,C,0.161,1808333333,1.6,10.1,0.259,101,6.5,13.3,0.00422,0.3,1.894817938,67.4,25.3,0.013863925,1.947260827,0.861,5.6,0.143,20.7,0,20.7,11.4,0,11.42028112,0,359,0.199,0.996,0.307,0.23,1.532,0.85
1,D,0.161,1041666667,2.5,14.5,0.229,163,5.8,24.2,0.00422,0.7,3.227167732,94.1,61.7,0.009930165,3.447654739,2.405,13.88,0.22,16.7,0,16.7,16.1,0,16.067264,0,461,0.443,1.223,0.373,0.32,1.915,1.84
2,A,0.322,1175000000,1.7,10.1,0.262,99,5.8,14.6,0.00422,0.5,2.273737536,72.3,24.8,0.012924323,2.192411493,1.475,8.59,0.223,24.8,0,24.8,21.1,0,21.09678386,0,389,0.331,1.21,0.356,0.284,1.85,1.57
2,B,0.322,1477564103,2.5,15.9,0.247,166,6.2,22.8,0.00422,0.4,2.921844106,92.45,31.55,0.010107394,2.922261234,1.725,10.76,0.167,22.6,0,22.6,15.3,0,15.28683736,0,412,0.279,1.088,0.2,0.212,1.5,1.02
2,C,0.322,1413194444,1.8,11.3,0.308,94,6.2,13,0.00422,0.3,2.065901641,28.1,29.7,0.033253686,1.958362062,1.275,7.96,0.218,19.9,0,19.9,14.1,0,14.10253859,0,454,0.321,1.36,0.475,0.347,2.183,1.54
2,D,0.322,1695833333,2.8,18.6,0.3,160,6.6,20.8,0.00422,0.2,3.053615319,32.3,20.4,0.028929677,3.07065224,1.662,10.97,0.177,24.7,0,24.7,14.6,0,14.5905564,0,569,0.336,1.277,0.435,0.323,2.035,1.2
4,A,0.645,877192982.5,1.6,10.6,0.258,106,6.5,13.9,0.00422,0.3,1.916898427,65.8,24.2,0.014201042,1.427444464,1.848,12.09,0.295,25.1,0,25.1,28.7,0,28.66391194,0,339,0.386,1.156,0.364,0.283,1.803,2.06
4,B,0.645,1510416667,3.1,20.3,0.29,181,6.5,23.8,0.00422,0.3,3.438163765,33.5,37.5,0.02789339,3.140581106,2.062,13.46,0.192,27.4,0,27.4,18.2,0,18.15762997,0,567,0.375,1.453,0.443,0.348,2.243,1.48
4,C,0.645,1708333333,2,13.1,0.302,112,6.6,14.5,0.00422,0.4,2.333631048,10,21.5,0.093442857,1.896737956,1.161,7.65,0.177,26.7,0,26.7,15.6,0,15.63717665,0,501,0.293,1.226,0.381,0.296,1.902,1.11
4,D,0.645,1733333333,3.2,20,0.308,168,6.2,23.3,0.00422,0.4,3.626759678,21,36.4,0.044496599,3.352963891,1.875,11.56,0.178,28.3,0,28.3,16.3,0,16.33910778,0,608,0.351,1.524,0.431,0.371,2.326,1.34
8,A,1.29,1541666667,2.3,13.5,0.296,118,5.8,17.5,0.00422,0.5,2.847694203,8.53,26.67,0.10954614,1.749395534,1.515,8.74,0.192,25.7,0.3,26,16.8,0.179838687,16.66751731,1.1,877,0.569,1.611,0.444,0.368,2.423,1.57
8,B,1.29,1666666667,4.1,22.7,0.304,192,5.6,29.5,0.00422,0.6,4.63337616,9.41,54.24,0.099301655,3.760298639,2.433,13.59,0.182,28.2,0,28.2,16.9,0,16.89811511,0,662,0.397,1.992,0.578,0.48,3.051,1.83
8,C,1.29,1116666667,2.3,12.1,0.264,118,5.3,19.1,0.00422,0.6,2.905108443,24.4,49.2,0.038296253,1.81405121,2.048,10.8,0.237,26.3,0,26.3,23.6,0,23.57601739,0,580,0.519,1.666,0.497,0.395,2.558,2.29
8,D,1.29,1260416667,3.5,18.2,0.225,208,5.3,34,0.00422,0.8,4.241790257,64.7,53.3,0.014442482,3.319323523,2.74,14.41,0.179,22.1,1.2,23.3,18.5,0.958512352,17.56292302,5.5,375,0.297,1.46,0.333,0.325,2.118,1.68
12,A,1.935,2526041667,2.7,14.8,0.292,130,5.5,20.4,0.00422,0.6,3.241406194,7.33,32.57,8.065679205,1.466047296,1.065,5.84,0.116,40.7,8.9,49.6,19.6,3.515054213,16.10337099,21.8,848,0.336,2.286,0.564,0.537,3.386,1.34
12,B,1.935,1766666667,2.5,13.8,0.265,135,5.5,20.8,0.1,0.7,3.052350928,54.2,57.4,4.902477596,1.253147223,1.407,7.81,0.15,35.8,7.1,42.9,24.3,4.002822609,20.25351009,19.8,761,0.431,2.322,0.595,0,2.917,1.65
12,C,1.935,3281250000,2.8,15.7,0.273,148,5.7,22.4,0.00422,1,3.725818997,6.87,48.73,0.136015804,2.012032436,0.843,4.78,0.083,43.9,0.6,44.5,13.6,0.177709664,13.38830216,1.3,885,0.27,2.161,0.548,0.487,3.197,0.97
12,D,1.935,2177083333,2.6,14.3,0.263,140,5.5,21.8,0.00422,0.7,3.277446765,23.7,53.9,0.292902351,1.506633526,1.188,6.55,0.121,35.4,0,35.4,16.3,0,16.25893589,0,844,0.388,2.308,0.679,0.607,3.594,1.65
16,A,2.58,1666666667,2.7,14.8,0.275,139,5.6,21.4,0.7,1.1,3.092760294,14.5,57.1,102.1625616,0.572410894,1.597,8.9,0.165,48.3,1.3,49.6,29.8,0.802749715,28.98000084,2.8,1181,0.708,2.484,1.025,0.755,4.264,2.56
16,B,2.58,2119791667,2.4,13.6,0.285,124,5.6,19,0.9,1.4,3.013368587,49.7,27.4,38.04828974,0.483005819,1.155,6.43,0.134,45.5,0.5,46,21.7,0.224003479,21.453969,1,967,0.456,2.097,0.447,0.453,2.997,1.41
16,C,2.58,1990740741,2.5,13.9,0.272,132,5.6,20.1,0.5,1.1,3.046560815,6.457,52.643,187.0628462,0.520384453,1.242,6.97,0.137,43.1,7.6,50.6,25.4,3.810617206,21.63093706,17.6,1070,0.537,2.263,0.581,0.531,3.374,1.7
16,D,2.58,1628472222,2.6,14,0.278,130,5.4,20.4,0.00422,1.5,3.137614268,0.314,71.286,6699.922731,0.622922126,1.577,8.58,0.171,45.9,0,45.9,28.2,0,28.16215187,0,924,0.568,2.236,0.454,0.485,3.175,1.95
20,A,3.225,1750000000,2.9,15.9,0.293,140,5.5,21.9,1.1,1.6,3.407708612,3.235,33.665,732.3912563,0.200840052,1.656,9.08,0.168,52.8,12.5,65.2,37.3,7.117505251,30.1600681,23.6,860,0.492,2.471,0.553,0.571,3.596,2.05
20,B,3.225,1440972222,2.9,14.2,0.295,125,4.9,21.6,1.2,2,3.663692729,0.314,64.386,8665.515204,0.489110454,1.994,9.86,0.205,46.9,32.6,79.5,55.2,22.6532435,32.52838184,69.6,1128,0.783,2.101,0.562,0.424,3.087,2.14
20,C,3.225,2848958333,3.1,16.5,0.315,136,5.4,21.7,0.9,1.4,3.643788519,1.89,37.91,1008.730159,0.466695803,1.083,5.81,0.111,59,2.9,61.9,21.7,1.023497909,20.69527175,4.9,1249,0.439,3.002,1.142,0.795,4.939,1.73
20,D,3.225,2130208333,2.9,15.9,0.335,123,5.4,19.5,1,1.8,3.745264106,1.29,44.01,1785.160576,0.580970113,1.383,7.48,0.157,54.4,0,54.4,25.5,0,25.54553907,0,1182,0.555,2.523,0.746,0.603,3.871,1.82
30,A,4.837,1750000000,2.6,14.1,0.261,140,5.4,22.1,2.5,3.2,2.607294376,0.314,71.286,17471.93309,0,1.49,8.08,0.149,48.4,5.5,53.8,30.8,3.134351409,27.63464226,11.3,701,0.401,2.509,0.82,0.648,3.977,2.27
30,B,4.837,2023148148,3,15.7,0.32,127,5.3,20.4,2.3,2.9,2.954753118,0.412,44.988,12253.81415,0,1.46,7.78,0.158,53.7,32.4,86.1,42.6,15.9992949,26.56551559,60.2,802,0.396,2.492,0.56,0.583,3.635,1.8
30,C,4.837,2447916667,3.2,17.2,0.304,146,5.4,23.1,2.2,3,3.176811745,0.314,37.386,15217.49011,0,1.298,7.01,0.124,42.2,10.1,52.3,21.3,4.12555858,17.22208158,24,1366,0.558,2.622,0.802,0.665,4.089,1.67
30,D,4.837,2000000000,3.3,18,0.302,154,5.5,24.1,1.7,2.7,3.293396435,0.314,43.886,12188.08236,0,1.647,9.01,0.151,52.6,11.6,64.1,32.1,5.791023395,26.27585113,22,1005,0.503,3.037,0.878,0.698,4.613,2.31
50,A,8.061,2104166667,3,15.9,0.304,135,5.3,21.7,5.1,8.5,2.98712236,0.654,32.846,17277.93321,0,1.42,7.57,0.145,51.2,7.5,58.7,27.9,3.575751417,24.33747684,14.7,945,0.449,2.772,0.867,0.68,4.319,2.05
50,B,8.061,2180555556,2.7,14.7,0.299,127,5.4,20,5.2,8.9,2.706591903,0.314,67.586,36634.69842,0,1.241,6.72,0.137,49.3,6.6,56,25.7,3.044569835,22.63157726,13.5,1000,0.459,2.329,0.409,0.512,3.249,1.49
50,C,8.061,2947916667,3.4,16.9,0.305,144,4.9,24.9,4.8,8.2,3.42577717,0.314,42.186,33746.19335,0,1.162,5.74,0.103,55.8,13.4,69.1,23.5,4.531152816,18.91947544,23.9,1011,0.343,2.932,0.908,0.738,4.578,1.55
50,D,8.061,1515151515,2.8,15.5,0.302,133,5.5,20.6,5.1,9,2.812030977,1.56,50.64,7210.622711,0,1.856,10.25,0.199,43.4,6.6,50,33,4.327464475,28.64954171,15.1,835,0.551,2.65,0.782,0.635,4.067,2.68
75,A,12.092,2343750000,2.8,14.6,0.285,132,5.2,22,8.6,13,2.830735368,1.49,41.76,12780.44104,0,1.208,6.22,0.122,42.4,10.9,53.3,22.7,4.639145397,18.10305994,25.6,960,0.41,2.604,0.909,0.676,4.189,1.79
75,B,12.092,2437500000,3.3,17.5,0.311,146,5.3,23.4,8.2,11.5,3.289324909,0.608,40.592,29827.30263,0,1.349,7.18,0.127,59,15.7,74.6,30.6,6.428484733,24.1885986,26.6,1117,0.458,2.836,0.773,0.672,4.282,1.76
75,C,12.092,2885416667,3.1,16.1,0.311,133,5.2,21.9,7.8,8.2,3.073371421,0.314,35.986,55092.95032,0,1.065,5.56,0.108,48.2,25.5,73.7,25.5,8.832998196,16.69343483,52.9,842,0.292,3.012,0.921,0.77,4.703,1.63
75,D,12.092,1895833333,3.2,16.3,0.312,135,5.1,22.7,8.2,12.3,3.192163484,0.97,47.43,18627.39323,0,1.684,8.6,0.165,56.6,21.3,77.9,41.1,11.23738944,29.86069401,37.6,869,0.458,2.865,0.68,0.668,4.213,2.22
100,A,16.123,3098958333,3.4,18.3,0.3,158,5.3,25.4,11,16,3.44717792,0.211,34.089,115436.696,0,1.112,5.91,0.097,59.5,32.7,92.2,29.7,10.55289549,19.19101769,55,710,0.229,3.447,1.304,0.921,5.671,1.83
100,B,16.123,3234375000,3.1,17,0.314,140,5.4,22.1,11.7,16.3,3.144196866,0.314,34.186,82428.07145,0,0.972,5.26,0.097,57.3,39.4,96.6,29.9,12.16646674,17.70603797,68.7,795,0.246,2.674,0.52,0.519,3.713,1.15
100,C,16.123,2734375000,3.4,17.3,0.31,144,5.1,24.1,11.2,15.2,3.375505597,0.314,38.986,78905.5043,0,1.234,6.31,0.114,52.4,41,93.4,34.1,14.9838082,19.16524984,78.2,596,0.218,3.284,1.134,0.831,5.249,1.92
100,D,16.123,2562500000,3.1,15.7,0.313,129,5.1,21.6,12.1,17.7,3.052116437,0.314,62.686,85246.12518,0,1.191,6.12,0.122,53.5,34.6,88.1,34.4,13.48871006,20.8743617,64.6,625,0.244,2.727,0.738,0.659,4.124,1.61
